dex_number,name,type_01,type_02,ability_01,ability_02,hidden_ability,egg_group_01,egg_group_02,is_legendary,hp,attack,defense,sp_attack,sp_defense,speed,BST,type_combo,cluster,cluster2,class
#0392,Infernape,Fire,Fighting,Blaze,None,Iron Fist,Field, Human-Like,False,76,104,71,104,71,108,534,Fire/Fighting,0,3,Fast Sweeper
#0393,Piplup,Water,None,Torrent,None,Competitive ,Water 1, Field,False,53,51,53,61,56,40,314,Water/None,1,1,Underpowered
#0394,Prinplup,Water,None,Torrent,None,Competitive ,Water 1, Field,False,64,66,68,81,76,50,405,Water/None,3,1,Underpowered
#0395,Empoleon,Water,Steel,Torrent,None,Competitive ,Water 1, Field,False,84,86,88,111,101,60,530,Water/Steel,0,0,Tank
#0396,Starly,Normal,Flying,Keen,None,Reckless,Flying,None,False,40,55,30,30,30,60,245,Normal/Flying,1,1,Underpowered
#0397,Staravia,Normal,Flying,Intimidate,None,Reckless,Flying,None,False,55,75,50,40,40,80,340,Normal/Flying,1,1,Underpowered
#0398,Staraptor,Normal,Flying,Intimidate,None,Reckless,Flying,None,False,85,120,70,50,50,100,475,Normal/Flying,3,3,Fast Sweeper
#0399,Bidoof,Normal,None,Simple, Unaware,Moody,Water 1, Field,False,59,45,40,35,40,31,250,Normal/None,1,1,Underpowered
#0400,Bibarel,Normal,Water,Simple, Unaware,Moody,Water 1, Field,False,79,85,60,55,60,71,410,Normal/Water,3,1,Underpowered
#0401,Kricketot,Bug,None,Shed,None,Run Away,Bug,None,False,37,25,41,25,41,25,194,Bug/None,1,1,Underpowered
#0402,Kricketune,Bug,None,Swarm,None,Technician,Bug,None,False,77,85,51,55,51,65,384,Bug/None,3,1,Underpowered
#0403,Shinx,Electric,None,Rivalry, Intimidate,Guts,Field,None,False,45,65,34,40,34,45,263,Electric/None,1,1,Underpowered
#0404,Luxio,Electric,None,Rivalry, Intimidate,Guts,Field,None,False,60,85,49,60,49,60,363,Electric/None,1,1,Underpowered
#0405,Luxray,Electric,None,Rivalry, Intimidate,Guts,Field,None,False,80,120,79,95,79,70,523,Electric/None,0,0,Tank
#0406,Budew,Grass,Poison,Natural, Poison,Leaf Guard,No Eggs Discovered,None,False,40,30,35,50,70,55,280,Grass/Poison,1,1,Underpowered
#0407,Roserade,Grass,Poison,Natural, Poison,Technician,Fairy, Grass,False,60,70,55,125,105,90,505,Grass/Poison,3,3,Fast Sweeper
#0408,Cranidos,Rock,None,Mold,None,Sheer Force,Monster,None,False,67,125,40,30,30,58,350,Rock/None,1,1,Underpowered
#0409,Rampardos,Rock,None,Mold,None,Sheer Force,Monster,None,False,97,165,60,65,50,58,495,Rock/None,2,2,balanced
#0410,Shieldon,Rock,Steel,Sturdy,None,Soundproof,Monster,None,False,30,42,118,42,88,30,350,Rock/Steel,2,2,balanced
#0411,Bastiodon,Rock,Steel,Sturdy,None,Soundproof,Monster,None,False,60,52,168,47,138,30,495,Rock/Steel,2,2,balanced
#0412,Burmy,Bug,None,Shed,None,Overcoat,Bug,None,False,40,29,45,29,45,36,224,Bug/None,1,1,Underpowered
#0413,Wormadam,Bug,Grass,Anticipation,None,Overcoat,Bug,None,False,60,59,85,79,105,36,424,Bug/Grass,2,2,balanced
#0414,Mothim,Bug,Flying,Swarm,None,Tinted Lens,Bug,None,False,70,94,50,94,50,66,424,Bug/Flying,3,3,Fast Sweeper
#0415,Combee,Bug,Flying,Honey,None,Hustle,Bug,None,False,30,30,42,30,42,70,244,Bug/Flying,1,1,Underpowered
#0416,Vespiquen,Bug,Flying,Pressure,None,Unnerve,Bug,None,False,70,80,102,80,102,40,474,Bug/Flying,2,2,balanced
#0417,Pachirisu,Electric,None,Run, Pickup,Volt Absorb,Field, Fairy,False,60,45,70,45,90,95,405,Electric/None,3,3,Fast Sweeper
#0418,Buizel,Water,None,Swift,None,Water Veil,Water 1, Field,False,55,65,35,60,30,85,330,Water/None,1,1,Underpowered
#0419,Floatzel,Water,None,Swift,None,Water Veil,Water 1, Field,False,85,105,55,85,50,115,495,Water/None,3,3,Fast Sweeper
#0420,Cherubi,Grass,None,Chlorophyll,None,None,Fairy, Grass,False,45,35,45,62,53,35,275,Grass/None,1,1,Underpowered
#0421,Cherrim,Grass,None,Flower,None,None,Fairy, Grass,False,70,60,70,87,78,85,450,Grass/None,3,3,Fast Sweeper
#0422,Shellos,Water,None,Sticky, Storm,Sand Force,Water 1, Amorphous,False,76,48,48,57,62,34,325,Water/None,1,1,Underpowered
#0423,Gastrodon,Water,Ground,Sticky, Storm,Sand Force,Water 1, Amorphous,False,111,83,68,92,82,39,475,Water/Ground,2,2,balanced
#0424,Ambipom,Normal,None,Technician, Pickup,Skill Link,Field,None,False,75,100,66,60,66,115,482,Normal/None,3,3,Fast Sweeper
#0425,Drifloon,Ghost,Flying,Aftermath, Unburden,Flare Boost,Amorphous,None,False,90,50,34,60,44,70,348,Ghost/Flying,1,1,Underpowered
#0426,Drifblim,Ghost,Flying,Aftermath, Unburden,Flare Boost,Amorphous,None,False,150,80,44,90,54,80,498,Ghost/Flying,3,0,Tank
#0427,Buneary,Normal,None,Run, Klutz,Limber,Field, Human-Like,False,55,66,44,44,56,85,350,Normal/None,1,1,Underpowered
#0428,Lopunny,Normal,None,Cute, Klutz,Limber,Field, Human-Like,False,65,76,84,54,96,105,480,Normal/None,3,3,Fast Sweeper
#0429,Mismagius,Ghost,None,Levitate,None,None,Amorphous,None,False,60,60,60,105,105,105,495,Ghost/None,3,3,Fast Sweeper
#0430,Honchkrow,Dark,Flying,Insomnia, Super,Moxie,Flying,None,False,100,125,52,105,52,71,505,Dark/Flying,3,0,Tank
#0431,Glameow,Normal,None,Limber, Own,Keen Eye,Field,None,False,49,55,42,42,37,85,310,Normal/None,1,1,Underpowered
#0432,Purugly,Normal,None,Thick, Own,Defiant,Field,None,False,71,82,64,64,59,112,452,Normal/None,3,3,Fast Sweeper
#0433,Chingling,Psychic,None,Levitate,None,None,No Eggs Discovered,None,False,45,30,50,65,50,45,285,Psychic/None,1,1,Underpowered
#0434,Stunky,Poison,Dark,Stench, Aftermath,Keen Eye,Field,None,False,63,63,47,41,41,74,329,Poison/Dark,1,1,Underpowered
#0435,Skuntank,Poison,Dark,Stench, Aftermath,Keen Eye,Field,None,False,103,93,67,71,61,84,479,Poison/Dark,3,0,Tank
#0436,Bronzor,Steel,Psychic,Levitate, Heatproof,Heavy Metal,Mineral,None,False,57,24,86,24,86,23,300,Steel/Psychic,1,1,Underpowered
#0437,Bronzong,Steel,Psychic,Levitate, Heatproof,Heavy Metal,Mineral,None,False,67,89,116,79,116,33,500,Steel/Psychic,2,2,balanced
#0438,Bonsly,Rock,None,Sturdy, Rock,Rattled,No Eggs Discovered,None,False,50,80,95,10,45,10,290,Rock/None,1,1,Underpowered
#0439,Mime Jr.,Psychic,Fairy,Soundproof, Filter,Technician,No Eggs Discovered,None,False,20,25,45,70,90,60,310,Psychic/Fairy,1,1,Underpowered
#0440,Happiny,Normal,None,Natural, Serene,Friend Guard,No Eggs Discovered,None,False,100,5,5,15,65,30,220,Normal/None,1,1,Underpowered
#0441,Chatot,Normal,Flying,Keen, Tangled,Big Pecks,Flying,None,False,76,65,45,92,42,91,411,Normal/Flying,3,3,Fast Sweeper
#0442,Spiritomb,Ghost,Dark,Pressure,None,Infiltrator,Amorphous,None,False,50,92,108,92,108,35,485,Ghost/Dark,2,2,balanced
#0443,Gible,Dragon,Ground,Sand,None,Rough Skin,Monster, Dragon,False,58,70,45,40,45,42,300,Dragon/Ground,1,1,Underpowered
#0444,Gabite,Dragon,Ground,Sand,None,Rough Skin,Monster, Dragon,False,68,90,65,50,55,82,410,Dragon/Ground,3,3,Fast Sweeper
#0445,Garchomp,Dragon,Ground,Sand,None,Rough Skin,Monster, Dragon,False,108,130,95,80,85,102,600,Dragon/Ground,0,0,Tank
#0446,Munchlax,Normal,None,Pickup, Thick,Gluttony,No Eggs Discovered,None,False,135,85,40,40,85,5,390,Normal/None,2,2,balanced
#0447,Riolu,Fighting,None,Steadfast, Inner,Prankster,No Eggs Discovered,None,False,40,70,40,35,40,60,285,Fighting/None,1,1,Underpowered
#0448,Lucario,Fighting,Steel,Steadfast, Inner,Justified,Field, Human-Like,False,70,110,70,115,70,90,525,Fighting/Steel,0,0,Tank
#0449,Hippopotas,Ground,None,Sand,None,Sand Force,Field,None,False,68,72,78,38,42,32,330,Ground/None,1,1,Underpowered
#0450,Hippowdon,Ground,None,Sand,None,Sand Force,Field,None,False,108,112,118,68,72,47,525,Ground/None,2,2,balanced
#0451,Skorupi,Poison,Bug,Battle, Sniper,Keen Eye,Bug, Water 3,False,40,50,90,30,55,65,330,Poison/Bug,1,1,Underpowered
#0452,Drapion,Poison,Dark,Battle, Sniper,Keen Eye,Bug, Water 3,False,70,90,110,60,75,95,500,Poison/Dark,2,0,Tank
#0453,Croagunk,Poison,Fighting,Anticipation, Dry,Poison Touch,Human-Like,None,False,48,61,40,61,40,50,300,Poison/Fighting,1,1,Underpowered
#0454,Toxicroak,Poison,Fighting,Anticipation, Dry,Poison Touch,Human-Like,None,False,83,106,65,86,65,85,490,Poison/Fighting,3,0,Tank
#0455,Carnivine,Grass,None,Levitate,None,None,Grass,None,False,74,100,72,90,72,46,454,Grass/None,2,2,balanced
#0456,Finneon,Water,None,Swift, Storm,Water Veil,Water 2,None,False,49,49,56,49,61,66,330,Water/None,1,1,Underpowered
#0457,Lumineon,Water,None,Swift, Storm,Water Veil,Water 2,None,False,69,69,76,69,86,91,460,Water/None,3,3,Fast Sweeper
#0458,Mantyke,Water,Flying,Swift, Water,Water Veil,No Eggs Discovered,None,False,45,20,50,60,120,50,345,Water/Flying,1,1,Underpowered
#0459,Snover,Grass,Ice,Snow,None,Soundproof,Monster, Grass,False,60,62,50,62,60,40,334,Grass/Ice,1,1,Underpowered
#0460,Abomasnow,Grass,Ice,Snow,None,Soundproof,Monster, Grass,False,90,92,75,92,85,60,494,Grass/Ice,2,0,Tank
#0461,Weavile,Dark,Ice,Pressure,None,Pickpocket,Field,None,False,70,120,65,45,85,125,510,Dark/Ice,3,3,Fast Sweeper
#0462,Magnezone,Electric,Steel,Magnet, Sturdy,Analytic,Mineral,None,False,70,70,115,130,90,60,535,Electric/Steel,2,0,Tank
#0463,Lickilicky,Normal,None,Own, Oblivious,Cloud Nine,Monster,None,False,110,85,95,80,95,50,515,Normal/None,2,2,balanced
#0464,Rhyperior,Ground,Rock,Lightning, Solid,Reckless,Monster, Field,False,115,140,130,55,55,40,535,Ground/Rock,2,2,balanced
#0465,Tangrowth,Grass,None,Chlorophyll, Leaf,Regenerator,Grass,None,False,100,100,125,110,50,50,535,Grass/None,2,2,balanced
#0466,Electivire,Electric,None,Motor,None,Vital Spirit,Human-Like,None,False,75,123,67,95,85,95,540,Electric/None,0,0,Tank
#0467,Magmortar,Fire,None,Flame,None,Vital Spirit,Human-Like,None,False,75,95,67,125,95,83,540,Fire/None,0,0,Tank
#0468,Togekiss,Fairy,Flying,Hustle, Serene,Super Luck,Flying, Fairy,False,85,50,95,120,115,80,545,Fairy/Flying,0,0,Tank
#0469,Yanmega,Bug,Flying,Speed, Tinted,Frisk,Bug,None,False,86,76,86,116,56,95,515,Bug/Flying,3,3,Fast Sweeper
#0470,Leafeon,Grass,None,Leaf,None,Chlorophyll,Field,None,False,65,110,130,60,65,95,525,Grass/None,2,0,Tank
#0471,Glaceon,Ice,None,Snow,None,Ice Body,Field,None,False,65,60,110,130,95,65,525,Ice/None,0,0,Tank
#0472,Gliscor,Ground,Flying,Hyper, Sand,Poison Heal,Bug,None,False,75,95,125,45,75,95,510,Ground/Flying,2,0,Tank
#0473,Mamoswine,Ice,Ground,Oblivious, Snow,Thick Fat,Field,None,False,110,130,80,70,60,80,530,Ice/Ground,0,0,Tank
#0474,Porygon-Z,Normal,None,Adaptability, Download,Analytic,Mineral,None,False,85,80,70,135,75,90,535,Normal/None,0,0,Tank
#0475,Gallade,Psychic,Fighting,Steadfast, Sharpness ,Justified,Human-LikeGen VIII+, Amorphous,False,68,125,65,65,115,80,518,Psychic/Fighting,0,0,Tank
#0476,Probopass,Rock,Steel,Sturdy, Magnet,Sand Force,Mineral,None,False,60,55,145,75,150,40,525,Rock/Steel,2,2,balanced
#0477,Dusknoir,Ghost,None,Pressure,None,Frisk,Amorphous,None,False,45,100,135,65,135,45,525,Ghost/None,2,2,balanced
#0478,Froslass,Ice,Ghost,Snow,None,Cursed Body,Fairy, Mineral,False,70,80,70,80,70,110,480,Ice/Ghost,3,3,Fast Sweeper
#0479,Rotom,Electric,Ghost,Levitate,None,None,Amorphous,None,False,50,50,77,95,77,91,440,Electric/Ghost,3,3,Fast Sweeper
#0480,Uxie,Psychic,None,Levitate,None,None,None,None,True,75,75,130,75,130,95,580,Psychic/None,2,0,Tank
#0481,Mesprit,Psychic,None,Levitate,None,None,None,None,True,80,105,105,105,105,80,580,Psychic/None,0,0,Tank
#0482,Azelf,Psychic,None,Levitate,None,None,None,None,True,75,125,70,125,70,115,580,Psychic/None,0,3,Fast Sweeper
#0483,Dialga,Steel,Dragon,Pressure,None,Telepathy,None,None,True,100,120,120,150,100,90,680,Steel/Dragon,0,0,Tank
#0484,Palkia,Water,Dragon,Pressure,None,Telepathy,None,None,True,90,120,100,150,120,100,680,Water/Dragon,0,0,Tank
#0485,Heatran,Fire,Steel,Flash,None,Flame Body,None,None,True,91,90,106,130,106,77,600,Fire/Steel,0,0,Tank
#0486,Regigigas,Normal,None,Slow,None,None,None,None,True,110,160,110,80,110,100,670,Normal/None,0,0,Tank
#0487,Giratina,Ghost,Dragon,Pressure,None,Telepathy,None,None,True,150,100,120,100,120,90,680,Ghost/Dragon,0,0,Tank
#0488,Cresselia,Psychic,None,Levitate,None,None,None,None,True,120,70,120,75,130,85,600,Psychic/None,0,0,Tank
#0489,Phione,Water,None,Hydration,None,None,Water 1, Fairy,False,80,80,80,80,80,80,480,Water/None,3,0,Tank
#0490,Manaphy,Water,None,Hydration,None,None,Water 1, Fairy,False,100,100,100,100,100,100,600,Water/None,0,0,Tank
#0491,Darkrai,Dark,None,Bad,None,None,None,None,False,70,90,90,135,90,125,600,Dark/None,0,0,Tank
#0492,Shaymin,Grass,None,Natural,None,None,None,None,False,100,100,100,100,100,100,600,Grass/None,0,0,Tank
#0493,Arceus,Normal,None,Multitype,None,None,None,None,False,120,120,120,120,120,120,720,Normal/None,0,0,Tank
#0494,Victini,Psychic,Fire,Victory,None,None,None,None,False,100,100,100,100,100,100,600,Psychic/Fire,0,0,Tank
#0495,Snivy,Grass,None,Overgrow,None,Contrary,Field, Grass,False,45,45,55,45,55,63,308,Grass/None,1,1,Underpowered
#0496,Servine,Grass,None,Overgrow,None,Contrary,Field, Grass,False,60,60,75,60,75,83,413,Grass/None,3,3,Fast Sweeper
#0497,Serperior,Grass,None,Overgrow,None,Contrary,Field, Grass,False,75,75,95,75,95,113,528,Grass/None,0,0,Tank
#0498,Tepig,Fire,None,Blaze,None,Thick Fat,Field,None,False,65,63,45,45,45,45,308,Fire/None,1,1,Underpowered
#0499,Pignite,Fire,Fighting,Blaze,None,Thick Fat,Field,None,False,90,93,55,70,55,55,418,Fire/Fighting,3,2,balanced
#0500,Emboar,Fire,Fighting,Blaze,None,Reckless,Field,None,False,110,123,65,100,65,65,528,Fire/Fighting,0,0,Tank
#0501,Oshawott,Water,None,Torrent,None,Shell Armor,Field,None,False,55,55,45,63,45,45,308,Water/None,1,1,Underpowered
#0502,Dewott,Water,None,Torrent,None,Shell Armor,Field,None,False,75,75,60,83,60,60,413,Water/None,3,1,Underpowered
#0503,Samurott,Water,None,Torrent,None,Shell Armor,Field,None,False,95,100,85,108,70,70,528,Water/None,0,0,Tank
#0504,Patrat,Normal,None,Run, Keen,Analytic,Field,None,False,45,55,39,35,39,42,255,Normal/None,1,1,Underpowered
#0505,Watchog,Normal,None,Illuminate, Keen,Analytic,Field,None,False,60,85,69,60,69,77,420,Normal/None,3,3,Fast Sweeper
#0506,Lillipup,Normal,None,Vital, Pickup,Run Away,Field,None,False,45,60,45,25,45,55,275,Normal/None,1,1,Underpowered
#0507,Herdier,Normal,None,Intimidate, Sand,Scrappy,Field,None,False,65,80,65,35,65,60,370,Normal/None,1,1,Underpowered
#0508,Stoutland,Normal,None,Intimidate, Sand,Scrappy,Field,None,False,85,100,90,45,90,80,490,Normal/None,2,0,Tank
#0509,Purrloin,Dark,None,Limber, Unburden,Prankster,Field,None,False,41,50,37,50,37,66,281,Dark/None,1,1,Underpowered
#0510,Liepard,Dark,None,Limber, Unburden,Prankster,Field,None,False,64,88,50,88,50,106,446,Dark/None,3,3,Fast Sweeper
#0511,Pansage,Grass,None,Gluttony,None,Overgrow,Field,None,False,50,53,48,53,48,64,316,Grass/None,1,1,Underpowered
#0512,Simisage,Grass,None,Gluttony,None,Overgrow,Field,None,False,75,98,63,98,63,101,498,Grass/None,3,3,Fast Sweeper
#0513,Pansear,Fire,None,Gluttony,None,Blaze,Field,None,False,50,53,48,53,48,64,316,Fire/None,1,1,Underpowered
#0514,Simisear,Fire,None,Gluttony,None,Blaze,Field,None,False,75,98,63,98,63,101,498,Fire/None,3,3,Fast Sweeper
#0515,Panpour,Water,None,Gluttony,None,Torrent,Field,None,False,50,53,48,53,48,64,316,Water/None,1,1,Underpowered
#0516,Simipour,Water,None,Gluttony,None,Torrent,Field,None,False,75,98,63,98,63,101,498,Water/None,3,3,Fast Sweeper
#0517,Munna,Psychic,None,Forewarn, Synchronize,Telepathy,Field,None,False,76,25,45,67,55,24,292,Psychic/None,1,1,Underpowered
#0518,Musharna,Psychic,None,Forewarn, Synchronize,Telepathy,Field,None,False,116,55,85,107,95,29,487,Psychic/None,2,2,balanced
#0519,Pidove,Normal,Flying,Big, Super,Rivalry,Flying,None,False,50,55,50,36,30,43,264,Normal/Flying,1,1,Underpowered
#0520,Tranquill,Normal,Flying,Big, Super,Rivalry,Flying,None,False,62,77,62,50,42,65,358,Normal/Flying,1,1,Underpowered
#0521,Unfezant,Normal,Flying,Big, Super,Rivalry,Flying,None,False,80,105,80,65,55,93,478,Normal/Flying,3,0,Tank
#0522,Blitzle,Electric,None,Lightning, Motor,Sap Sipper,Field,None,False,45,60,32,50,32,76,295,Electric/None,1,1,Underpowered
#0523,Zebstrika,Electric,None,Lightning, Motor,Sap Sipper,Field,None,False,75,100,63,80,63,116,497,Electric/None,3,3,Fast Sweeper
#0524,Roggenrola,Rock,None,Sturdy, Weak,Sand Force,Mineral,None,False,55,75,85,25,25,15,280,Rock/None,1,1,Underpowered
#0525,Boldore,Rock,None,Sturdy, Weak,Sand Force,Mineral,None,False,70,105,105,50,40,20,390,Rock/None,2,2,balanced
#0526,Gigalith,Rock,None,Sturdy, Sand,Sand Force,Mineral,None,False,85,135,130,60,70,25,505,Rock/None,2,2,balanced
#0527,Woobat,Psychic,Flying,Unaware, Klutz,Simple,Field, Flying,False,55,45,43,55,43,72,313,Psychic/Flying,1,1,Underpowered
#0528,Swoobat,Psychic,Flying,Unaware, Klutz,Simple,Field, Flying,False,67,57,55,77,55,114,425,Psychic/Flying,3,3,Fast Sweeper
#0529,Drilbur,Ground,None,Sand, Sand,Mold Breaker,Field,None,False,60,85,40,30,45,68,328,Ground/None,1,1,Underpowered
#0530,Excadrill,Ground,Steel,Sand, Sand,Mold Breaker,Field,None,False,110,135,60,50,65,88,508,Ground/Steel,3,0,Tank
#0531,Audino,Normal,None,Healer, Regenerator,Klutz,Fairy,None,False,103,60,86,60,86,50,445,Normal/None,2,2,balanced
#0532,Timburr,Fighting,None,Guts, Sheer,Iron Fist,Human-Like,None,False,75,80,55,25,35,35,305,Fighting/None,1,1,Underpowered
#0533,Gurdurr,Fighting,None,Guts, Sheer,Iron Fist,Human-Like,None,False,85,105,85,40,50,40,405,Fighting/None,2,2,balanced
#0534,Conkeldurr,Fighting,None,Guts, Sheer,Iron Fist,Human-Like,None,False,105,140,95,55,65,45,505,Fighting/None,2,2,balanced
#0535,Tympole,Water,None,Swift, Hydration,Water Absorb,Water 1,None,False,50,50,40,50,40,64,294,Water/None,1,1,Underpowered
#0536,Palpitoad,Water,Ground,Swift, Hydration,Water Absorb,Water 1,None,False,75,65,55,65,55,69,384,Water/Ground,3,1,Underpowered
#0537,Seismitoad,Water,Ground,Swift, Poison,Water Absorb,Water 1,None,False,105,85,75,85,75,74,499,Water/Ground,3,0,Tank
#0538,Throh,Fighting,None,Guts, Inner,Mold Breaker,Human-Like,None,False,120,100,85,30,85,45,465,Fighting/None,2,2,balanced
#0539,Sawk,Fighting,None,Sturdy, Inner,Mold Breaker,Human-Like,None,False,75,125,75,30,75,85,465,Fighting/None,2,0,Tank
#0540,Sewaddle,Bug,Grass,Swarm, Chlorophyll,Overcoat,Bug,None,False,45,53,70,40,60,42,310,Bug/Grass,1,1,Underpowered
#0541,Swadloon,Bug,Grass,Leaf, Chlorophyll,Overcoat,Bug,None,False,55,63,90,50,80,42,380,Bug/Grass,2,2,balanced
#0542,Leavanny,Bug,Grass,Swarm, Chlorophyll,Overcoat,Bug,None,False,75,103,80,70,70,92,490,Bug/Grass,3,0,Tank
#0543,Venipede,Bug,Poison,Poison, Swarm,Speed Boost,Bug,None,False,30,45,59,30,39,57,260,Bug/Poison,1,1,Underpowered
#0544,Whirlipede,Bug,Poison,Poison, Swarm,Speed Boost,Bug,None,False,40,55,99,40,79,47,360,Bug/Poison,1,1,Underpowered
#0545,Scolipede,Bug,Poison,Poison, Swarm,Speed Boost,Bug,None,False,60,90,89,55,69,112,475,Bug/Poison,3,3,Fast Sweeper
#0546,Cottonee,Grass,Fairy,Prankster, Infiltrator,Chlorophyll,Grass, Fairy,False,40,27,60,37,50,66,280,Grass/Fairy,1,1,Underpowered
#0547,Whimsicott,Grass,Fairy,Prankster, Infiltrator,Chlorophyll,Grass, Fairy,False,60,67,85,77,75,116,480,Grass/Fairy,3,3,Fast Sweeper
#0548,Petilil,Grass,None,Chlorophyll, Own,Leaf Guard,Grass,None,False,45,35,50,70,50,30,280,Grass/None,1,1,Underpowered
#0549,Lilligant,Grass,None,Chlorophyll, Own,Leaf Guard,Grass,None,False,70,60,75,110,75,90,480,Grass/None,3,3,Fast Sweeper
#0550,Basculin,Water,None,Reckless , AdaptabilityRed Striped,Mold Breaker,Water 2,None,False,70,92,65,80,55,98,460,Water/None,3,3,Fast Sweeper
#0551,Sandile,Ground,Dark,Intimidate, Moxie,Anger Point,Field,None,False,50,72,35,35,35,65,292,Ground/Dark,1,1,Underpowered
#0552,Krokorok,Ground,Dark,Intimidate, Moxie,Anger Point,Field,None,False,60,82,45,45,45,74,351,Ground/Dark,1,1,Underpowered
#0553,Krookodile,Ground,Dark,Intimidate, Moxie,Anger Point,Field,None,False,95,117,70,65,70,92,509,Ground/Dark,3,0,Tank
#0554,Darumaka,Fire,None,Hustle,None,Inner Focus,Field,None,False,70,90,45,15,45,50,315,Fire/None,1,1,Underpowered
#0555,Darmanitan,Fire,None,Sheer,None,Zen Mode,Field,None,False,105,140,55,30,55,95,480,Fire/None,3,0,Tank
#0556,Maractus,Grass,None,Water, Chlorophyll,Storm Drain,Grass,None,False,75,86,67,106,67,60,461,Grass/None,3,0,Tank
#0557,Dwebble,Bug,Rock,Sturdy, Shell,Weak Armor,Bug, Mineral,False,50,65,85,35,35,55,325,Bug/Rock,1,1,Underpowered
#0558,Crustle,Bug,Rock,Sturdy, Shell,Weak Armor,Bug, Mineral,False,70,95,125,65,75,45,475,Bug/Rock,2,2,balanced
#0559,Scraggy,Dark,Fighting,Shed, Moxie,Intimidate,Field, Dragon,False,50,75,70,35,70,48,348,Dark/Fighting,1,1,Underpowered
#0560,Scrafty,Dark,Fighting,Shed, Moxie,Intimidate,Field, Dragon,False,65,90,115,45,115,58,488,Dark/Fighting,2,2,balanced
#0561,Sigilyph,Psychic,Flying,Wonder, Magic,Tinted Lens,Flying,None,False,72,58,80,103,80,97,490,Psychic/Flying,3,3,Fast Sweeper
#0562,Yamask,Ghost,None,Mummy,None,None,Mineral, Amorphous,False,38,30,85,55,65,30,303,Ghost/None,1,1,Underpowered
#0563,Cofagrigus,Ghost,None,Mummy,None,None,Mineral, Amorphous,False,58,50,145,95,105,30,483,Ghost/None,2,2,balanced
#0564,Tirtouga,Water,Rock,Solid, Sturdy,Swift Swim,Water 1, Water 3,False,54,78,103,53,45,22,355,Water/Rock,1,2,balanced
#0565,Carracosta,Water,Rock,Solid, Sturdy,Swift Swim,Water 1, Water 3,False,74,108,133,83,65,32,495,Water/Rock,2,2,balanced
#0566,Archen,Rock,Flying,Defeatist,None,None,Flying, Water 3,False,55,112,45,74,45,70,401,Rock/Flying,3,3,Fast Sweeper
#0567,Archeops,Rock,Flying,Defeatist,None,None,Flying, Water 3,False,75,140,65,112,65,110,567,Rock/Flying,0,0,Tank
#0568,Trubbish,Poison,None,Stench, Sticky,Aftermath,Mineral,None,False,50,50,62,40,62,65,329,Poison/None,1,1,Underpowered
#0569,Garbodor,Poison,None,Stench, Weak,Aftermath,Mineral,None,False,80,95,82,60,82,75,474,Poison/None,2,0,Tank
#0570,Zorua,Dark,None,Illusion,None,None,Field,None,False,40,65,40,80,40,65,330,Dark/None,1,1,Underpowered
#0571,Zoroark,Dark,None,Illusion,None,None,Field,None,False,60,105,60,120,60,105,510,Dark/None,3,3,Fast Sweeper
#0572,Minccino,Normal,None,Cute, Technician,Skill Link,Field,None,False,55,50,40,40,40,75,300,Normal/None,1,1,Underpowered
#0573,Cinccino,Normal,None,Cute, Technician,Skill Link,Field,None,False,75,95,60,65,60,115,470,Normal/None,3,3,Fast Sweeper
#0574,Gothita,Psychic,None,Frisk, Competitive,Shadow Tag,Human-Like,None,False,45,30,50,55,65,45,290,Psychic/None,1,1,Underpowered
#0575,Gothorita,Psychic,None,Frisk, Competitive,Shadow Tag,Human-Like,None,False,60,45,70,75,85,55,390,Psychic/None,3,1,Underpowered
#0576,Gothitelle,Psychic,None,Frisk, Competitive,Shadow Tag,Human-Like,None,False,70,55,95,95,110,65,490,Psychic/None,2,0,Tank
#0577,Solosis,Psychic,None,Overcoat, Magic,Regenerator,Amorphous,None,False,45,30,40,105,50,20,290,Psychic/None,1,1,Underpowered
#0578,Duosion,Psychic,None,Overcoat, Magic,Regenerator,Amorphous,None,False,65,40,50,125,60,30,370,Psychic/None,3,1,Underpowered
#0579,Reuniclus,Psychic,None,Overcoat, Magic,Regenerator,Amorphous,None,False,110,65,75,125,85,30,490,Psychic/None,2,2,balanced
#0580,Ducklett,Water,Flying,Keen, Big,Hydration,Water 1, Flying,False,62,44,50,44,50,55,305,Water/Flying,1,1,Underpowered
#0581,Swanna,Water,Flying,Keen, Big,Hydration,Water 1, Flying,False,75,87,63,87,63,98,473,Water/Flying,3,3,Fast Sweeper
#0582,Vanillite,Ice,None,Ice, Snow,Weak Armor,Mineral,None,False,36,50,50,65,60,44,305,Ice/None,1,1,Underpowered
#0583,Vanillish,Ice,None,Ice, Snow,Weak Armor,Mineral,None,False,51,65,65,80,75,59,395,Ice/None,3,1,Underpowered
#0584,Vanilluxe,Ice,None,Ice, Snow,Weak Armor,Mineral,None,False,71,95,85,110,95,79,535,Ice/None,0,0,Tank
#0585,Deerling,Normal,Grass,Chlorophyll, Sap,Serene Grace,Field,None,False,60,60,50,40,50,75,335,Normal/Grass,1,1,Underpowered
#0586,Sawsbuck,Normal,Grass,Chlorophyll, Sap,Serene Grace,Field,None,False,80,100,70,60,70,95,475,Normal/Grass,3,3,Fast Sweeper
#0587,Emolga,Electric,Flying,Static,None,Motor Drive,Field,None,False,55,75,60,75,60,103,428,Electric/Flying,3,3,Fast Sweeper
